"","state","year","population"
"417","Oregon","2017",4091404
"418","Pennsylvania","2017",12783538
"419","Rhode Island","2017",1057063
"420","South Carolina","2017",4958235
"421","South Dakota","2017",862890
"422","Tennessee","2017",6645011
"423","Texas","2017",27937492
"424","Utah","2017",3042613
"425","Vermont","2017",623644
"426","Virginia","2017",8410946
"427","Washington","2017",7294680
"428","West Virginia","2017",1830929
"429","Wisconsin","2017",5772958
"430","Wyoming","2017",584290
"431","U.S. Virgin Islands","2017",107510
"432","Puerto Rico","2017",3406495
"433","Alabama","2018",4875120
"434","Alaska","2018",739786
"435","Arizona","2018",7048876
"436","Arkansas","2018",3002997
"437","California","2018",39399349
"438","Colorado","2018",5615902
"439","Connecticut","2018",3573880
"440","Delaware","2018",957078
"441","District of Columbia","2018",695691
"442","Florida","2018",20976812
"443","Georgia","2018",10413055
"444","Guam","2018",164229
"445","Hawaii","2018",1424203
"446","Idaho","2018",1718904
"447","Illinois","2018",12786196
"448","Indiana","2018",6660082
"449","Iowa","2018",3143637
"450","Kansas","2018",2910689
"451","Kentucky","2018",4453874
"452","Louisiana","2018",4670818
"453","Maine","2018",1335063
"454","Maryland","2018",6024891
"455","Massachusetts","2018",6863246
"456","Michigan","2018",9976447
"457","Minnesota","2018",5568155
"458","Mississippi","2018",2989663
"459","Missouri","2018",6108612
"460","Montana","2018",1053090
"461","Nebraska","2018",1917575
"462","Nevada","2018",2972405
"463","New Hampshire","2018",1349767
"464","New Jersey","2018",8888543
"465","New Mexico","2018",2093395
"466","New York","2018",19590719
"467","North Carolina","2018",10270800
"468","North Dakota","2018",755176
"469","Ohio","2018",11664129
"470","Oklahoma","2018",3932640
"471","Oregon","2018",4146592
"472","Pennsylvania","2018",12790447
"473","Rhode Island","2018",1056486
"474","South Carolina","2018",5021219
"475","South Dakota","2018",873286
"476","Tennessee","2018",6708794
"477","Texas","2018",28322717
"478","Utah","2018",3103118
"479","Vermont","2018",624525
"480","Virginia","2018",8465207
"481","Washington","2018",7425432
"482","West Virginia","2018",1817048
"483","Wisconsin","2018",5792051
"484","Wyoming","2018",578934
"485","U.S. Virgin Islands","2018",107268
"486","Puerto Rico","2018",3325001
"487","Alabama",NA,4887871
"488","Alaska",NA,737438
"489","Arizona",NA,7171646
"490","Arkansas",NA,3013825
"491","California",NA,39557045
"492","Colorado",NA,5695564
"493","Connecticut",NA,3572665
"494","Delaware",NA,967171
"495","District of Columbia",NA,702455
"496","Florida",NA,21299325
"497","Georgia",NA,10519475
"498","Guam",NA,165718
"499","Hawaii",NA,1420491
"500","Idaho",NA,1754208
"501","Illinois",NA,12741080
"502","Indiana",NA,6691878
"503","Iowa",NA,3156145
"504","Kansas",NA,2911505
"505","Kentucky",NA,4468402
"506","Louisiana",NA,4659978
"507","Maine",NA,1338404
"508","Maryland",NA,6042718
"509","Massachusetts",NA,6902149
"510","Michigan",NA,9995915
"511","Minnesota",NA,5611179
"512","Mississippi",NA,2986530
"513","Missouri",NA,6126452
"514","Montana",NA,1062305
"515","Nebraska",NA,1929268
"516","Nevada",NA,3034392
"517","New Hampshire",NA,1356458
"518","New Jersey",NA,8908520
"519","New Mexico",NA,2095428
"520","New York",NA,19542209
"521","North Carolina",NA,10383620
"522","North Dakota",NA,760077
"523","Ohio",NA,11689442
"524","Oklahoma",NA,3943079
"525","Oregon",NA,4190713
"526","Pennsylvania",NA,12807060
"527","Rhode Island",NA,1057315
"528","South Carolina",NA,5084127
"529","South Dakota",NA,882235
"530","Tennessee",NA,6770010
"531","Texas",NA,28701845
"532","Utah",NA,3161105
"533","Vermont",NA,626299
"534","Virginia",NA,8517685
"535","Washington",NA,7535591
"536","West Virginia",NA,1805832
"537","Wisconsin",NA,5813568
"538","Wyoming",NA,577737
"539","U.S. Virgin Islands",NA,107282
"540","Puerto Rico",NA,3195153
